sqft,bedrooms,bathrooms,property_type,state,city_type,cleaning_type,frequency,cleaning_rate
2276.6200245848336,3,3.3,house,NY,small_city,basic,weekly,294.0986338824368
3102.026420879939,1,1.1,house,WA,medium_city,basic,one_time,470.03492716638465
2039.4567688913141,2,1.8,house,WA,small_city,basic,weekly,267.7021405198333
2945.107540231435,3,3.6,house,FL,medium_city,basic,weekly,355.82036438232154
2953.3499804385838,1,1.0,house,CA,small_city,basic,monthly,414.6056580446941
2177.422379888023,3,2.6,house,FL,small_city,basic,one_time,265.86063729731035
2492.0339609828306,2,2.3,house,TX,rural,basic,one_time,218.38359654666903
1127.9257224739201,4,3.9,house,TX,large_city,basic,monthly,114.91647233035944
1274.240395326717,3,3.3,house,WA,small_city,post_construction,monthly,366.1596449093161
3497.220357912352,3,3.0,house,TX,medium_city,basic,one_time,400.0
2509.45408159976,1,1.0,condo,WA,medium_city,basic,weekly,280.8994201059737
1485.4311583391855,1,1.0,house,CA,medium_city,basic,monthly,308.2127804566184
1133.5297540201072,3,2.8,apartment,CA,rural,basic,weekly,155.76324088121498
3166.477787374063,4,4.4,house,WA,medium_city,basic,weekly,371.3919793260475
1445.906292448557,4,3.4,house,NY,major_metro,basic,one_time,338.4725625539287
1977.5091666390274,4,3.7,condo,FL,small_city,basic,weekly,219.02977673648516
2696.121141350715,2,2.2,house,CA,small_city,basic,weekly,350.4361518215558
1825.227464941029,2,1.8,house,TX,large_city,basic,one_time,286.8574722092818
2305.310855702967,2,2.3,house,TX,large_city,post_construction,one_time,400.0
2209.9080609759762,5,4.6,house,TX,small_city,basic,one_time,270.6066796774112
2696.728280333905,5,4.9,house,TX,medium_city,basic,monthly,233.60124397944728
1560.2032038360485,2,2.3,house,CA,major_metro,basic,one_time,482.7573120296205
970.5521904014709,2,2.2,apartment,TX,small_city,deep,monthly,106.2227349622182
1997.3677036430734,8,7.5,apartment,WA,large_city,basic,monthly,342.58118914111355
1262.2000838867475,3,3.2,house,WA,rural,basic,monthly,118.12631754907481
2858.310487738685,4,4.6,house,WA,small_city,basic,weekly,297.5661202615066
1559.7892698820433,7,8.0,house,CA,medium_city,basic,one_time,269.48764468863226
2903.0455991230297,1,1.1,house,TX,medium_city,basic,weekly,267.096331913421
593.2908304617586,2,1.7,house,FL,medium_city,deep,weekly,117.02857169647098
1378.3155444414388,1,1.0,house,NY,small_city,basic,one_time,249.75002127581268
2815.702794257072,4,4.6,apartment,TX,medium_city,basic,weekly,214.99081118269643
2824.5909965326173,2,2.4,house,FL,major_metro,deep,weekly,500.0
500.0,6,5.6,house,CA,large_city,basic,weekly,150.0
3409.7218701792744,4,3.8,house,NY,rural,basic,monthly,363.94619144030736
1223.537649148276,3,3.5,apartment,WA,medium_city,deep,weekly,188.555796240288
737.5182844067508,1,1.0,condo,NY,small_city,basic,one_time,120.0
3244.342630178411,2,2.0,apartment,NY,large_city,basic,weekly,554.4722746717446
1361.9626414002764,5,4.4,condo,NY,major_metro,basic,one_time,269.72063130203975
2290.1509915971606,3,2.6,condo,WA,large_city,basic,one_time,406.8822974345783
1735.0941394982963,5,4.1,house,FL,small_city,basic,monthly,208.17397696242728
1690.3308879743859,4,4.4,house,TX,large_city,post_construction,monthly,400.0
1940.5024490686587,2,2.0,house,NY,medium_city,deep,monthly,548.5130708352993
2360.2961406198215,1,1.0,condo,WA,major_metro,basic,weekly,437.5172447160842
1782.685188980847,3,2.8,house,WA,small_city,deep,weekly,265.2759395953306
2060.9462701681446,2,2.2,house,WA,medium_city,basic,weekly,220.68086902569405
1734.3523138327575,1,1.0,house,CA,medium_city,post_construction,one_time,800.0
2482.0792714662466,2,2.4,house,NY,rural,deep,weekly,413.8835778849716
2856.7308843047845,2,2.0,house,CA,large_city,deep,weekly,800.0
1126.8324132697492,2,2.3,house,NY,medium_city,basic,weekly,184.00955991894884
1984.2976886158156,2,2.2,house,WA,medium_city,basic,weekly,271.23858799328076
500.0,3,3.5,apartment,CA,small_city,basic,weekly,150.0
3730.17136759607,1,1.1,house,NY,medium_city,basic,one_time,652.3880117416268
2484.247437425255,8,7.4,apartment,NY,small_city,deep,one_time,590.2950589533491
2270.9513048725144,4,3.6,house,WA,large_city,deep,monthly,513.1854009405661
2075.8536749360624,2,1.7,apartment,NY,large_city,basic,monthly,320.24228017872866
1552.3902247301419,3,3.3,apartment,FL,small_city,deep,one_time,253.26733065554666
1494.1257529013558,1,1.2,apartment,WA,medium_city,deep,one_time,297.1692436369556
2591.003044589022,2,1.8,house,TX,small_city,basic,one_time,265.31692047097096
2186.2589071822354,4,3.6,house,NY,small_city,basic,weekly,261.37123815496903
1679.320598393962,5,5.9,apartment,CA,small_city,post_construction,one_time,517.155042638566
2454.7591291840704,3,3.2,apartment,CA,small_city,deep,one_time,593.4161810359107
2388.6966247265154,5,4.8,house,FL,major_metro,basic,one_time,398.33142039176687
1814.386535361195,5,5.9,apartment,FL,large_city,basic,weekly,238.38748193462274
941.4294624904344,2,1.8,apartment,NY,small_city,basic,monthly,120.0
3801.544559562662,2,2.1,house,TX,major_metro,deep,weekly,400.0
2797.640058608153,2,2.3,house,FL,large_city,deep,one_time,500.0
1288.2640273919537,4,3.8,apartment,CA,major_metro,basic,monthly,317.7404375443787
2781.214416562618,3,3.2,house,CA,medium_city,deep,weekly,624.8788897112495
1892.1983710592606,1,1.0,house,WA,small_city,basic,weekly,231.76507953549554
3116.911457351022,1,1.0,apartment,TX,medium_city,basic,one_time,346.18980436116294
2220.6811238228415,5,5.1,house,TX,small_city,basic,monthly,190.28162547133314
1449.153525161757,2,1.8,house,NY,rural,basic,monthly,210.71536212206325
3824.6062475831677,1,1.0,house,WA,medium_city,deep,one_time,600.0
1439.3866567306313,1,1.0,apartment,WA,medium_city,basic,weekly,195.61668523779343
1701.4735615953082,4,4.6,house,TX,small_city,basic,weekly,135.71597376328512
1864.9490140617104,3,3.1,house,NY,small_city,deep,one_time,461.89736773785796
2860.8366129195783,4,3.9,house,NY,major_metro,basic,weekly,626.3022340408405
2664.406870740966,1,1.0,house,WA,medium_city,post_construction,one_time,600.0
2796.9192477102224,4,4.5,house,NY,small_city,deep,weekly,603.5196626334941
749.6907433599858,4,4.4,house,NY,small_city,basic,one_time,120.27694618118456
860.802521696836,5,4.9,house,WA,large_city,basic,one_time,164.13866854515854
3257.6396421551153,8,8.0,house,FL,small_city,deep,weekly,500.0
1890.3527972779539,5,5.4,house,WA,rural,deep,one_time,413.4407106032038
1541.479776974932,2,2.3,house,FL,medium_city,deep,monthly,261.3163058426876
2486.789540530395,3,2.5,apartment,WA,small_city,basic,one_time,378.3589199770092
2262.119069686634,7,6.1,house,CA,large_city,basic,one_time,525.9595735794948
1433.779753664082,4,3.7,apartment,FL,major_metro,basic,one_time,245.53785571832412
1154.221893082789,1,1.0,house,WA,rural,deep,weekly,168.0239487346326
2574.7517456495716,4,4.5,house,TX,small_city,basic,weekly,224.93818295057653
1328.5664049078846,3,2.6,house,TX,large_city,deep,one_time,284.79845177125856
2581.740565857068,3,3.1,apartment,TX,medium_city,basic,weekly,237.12819235784858
2143.6022606275756,1,1.1,house,FL,medium_city,basic,weekly,306.1597675822824
2638.3899169194256,1,1.0,house,WA,small_city,basic,monthly,312.8101142121222
1656.849772656792,3,2.7,house,CA,large_city,basic,weekly,356.3426473135469
2752.9154683879706,4,3.6,house,FL,rural,basic,one_time,374.6518666122106
2946.024055528587,4,3.6,apartment,CA,rural,basic,weekly,322.26451774860186
2160.8240452241985,1,1.0,house,FL,medium_city,deep,one_time,434.82566359717396
502.8290180908293,5,5.3,house,NY,rural,basic,weekly,120.0
2041.1964538944671,2,1.9,house,NY,major_metro,basic,monthly,362.67231438778566
1275.5093204376494,7,8.0,house,CA,small_city,basic,one_time,202.51832086790472
3366.9582701950767,1,1.1,house,WA,rural,basic,weekly,310.101104643338
3561.068730909192,3,3.3,house,WA,medium_city,deep,one_time,600.0
1724.0340993562063,4,4.3,house,WA,small_city,deep,monthly,330.0450544212873
1893.6550806184546,5,4.3,house,CA,major_metro,basic,monthly,420.1652022608293
2301.0963285612006,1,1.1,house,FL,major_metro,deep,monthly,500.0
894.7697259623083,3,2.4,house,CA,medium_city,basic,one_time,163.17704512828536
1986.8064156630385,3,3.1,house,TX,small_city,basic,weekly,146.30278568954537
1970.5619633257475,4,4.4,house,FL,medium_city,basic,one_time,247.65236310860595
1956.690036534495,2,1.8,apartment,CA,medium_city,basic,monthly,292.4494048089159
1198.440020780933,1,1.1,house,NY,small_city,basic,weekly,171.85190711346078
1160.7686642443402,1,1.1,apartment,CA,medium_city,deep,weekly,235.45225956298913
1374.4612665818631,2,2.3,house,FL,major_metro,basic,weekly,226.00051291960085
2176.548696741308,3,2.8,house,WA,medium_city,deep,weekly,379.0767087731665
2576.7089736942175,2,1.8,apartment,TX,large_city,basic,one_time,256.29530680479206
3512.517986943114,1,1.0,condo,TX,large_city,basic,weekly,313.5115100456818
1120.6556555143084,1,1.0,house,WA,medium_city,basic,monthly,137.5476798589282
1683.6681608044346,1,1.0,house,FL,small_city,basic,monthly,209.22327972405145
1944.3026148414015,5,4.8,apartment,FL,major_metro,deep,monthly,471.79154379705244
2077.3986115806965,2,1.6,condo,NY,large_city,deep,weekly,519.9135219571914
2700.235790265522,2,2.3,apartment,TX,medium_city,basic,weekly,222.13920541931253
2346.4593590845716,2,2.3,house,WA,rural,basic,weekly,263.70003029695505
1113.8960712409446,3,2.5,house,NY,large_city,deep,one_time,317.4071618761184
1988.5348009466384,1,1.1,house,CA,rural,deep,monthly,393.6410721027176
1866.5919561331093,1,1.1,house,CA,medium_city,deep,monthly,471.80735093220284
2845.856137126815,3,2.4,house,FL,small_city,post_construction,one_time,500.0
1469.1475023548526,2,2.0,house,CA,medium_city,basic,weekly,204.2716639701139
3696.8662896117967,4,3.6,condo,FL,small_city,basic,weekly,360.06279870699177
1999.9301277261982,6,5.1,apartment,TX,large_city,basic,weekly,210.94834481236256
896.5676354760474,1,1.0,house,FL,medium_city,basic,monthly,117.9943193400026
2723.7900210678354,3,3.5,house,CA,large_city,basic,one_time,609.712251735796
2769.2036201182395,1,1.1,house,WA,large_city,basic,one_time,491.35434969209604
1874.6627952278611,3,3.4,house,FL,small_city,deep,weekly,254.25696871935864
2131.431854754704,3,2.7,apartment,WA,rural,basic,one_time,204.19873624731432
803.3206094119726,5,5.1,house,FL,medium_city,basic,weekly,100.0
1743.8697997050426,4,4.3,house,WA,medium_city,basic,weekly,192.42897246769522
